0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
tt32104427,The Survivors,The Survivors,1968,49,"Adventure,Sci-Fi,Thriller",7.1,71,6,writer,creator,1,7,Monty Berman,1913,2006,"producer,writer,cinematographer"
tt33258249,To Trap a Rat,To Trap a Rat,1968,49,"Adventure,Sci-Fi,Thriller",7.5,79,6,writer,creator,1,8,Monty Berman,1913,2006,"producer,writer,cinematographer"
tt94838078,Twelve Hours,Twelve Hours,1968,60,"Adventure,Sci-Fi,Thriller",7.0,72,6,writer,creator,1,13,Monty Berman,1913,2006,"producer,writer,cinematographer"
tt12643946,Have Guns  Will Haggle,Have Guns  Will Haggle,1968,51,"Action,Comedy,Crime",6.3,170,8,writer,teleplay,7,12,Donald James,1931,2008,"writer,actor"
tt61364389,Full Circle,Full Circle,1968,49,"Adventure,Sci-Fi,Thriller",6.8,53,7,writer,writer,1,26,Donald James,1931,2008,"writer,actor"
tt31795410,The Ghost Plane,The Ghost Plane,1968,49,"Adventure,Sci-Fi,Thriller",6.8,76,7,writer,writer,1,10,Donald James,1931,2008,"writer,actor"
tt45743395,The Invisible Man,The Invisible Man,1968,49,"Adventure,Sci-Fi,Thriller",7.3,104,7,writer,screenplay,1,2,Donald James,1931,2008,"writer,actor"
tt86428988,The Night People,The Night People,1968,60,"Adventure,Sci-Fi,Thriller",7.2,65,7,writer,writer,1,23,Donald James,1931,2008,"writer,actor"
tt32759711,The Silent Enemy,The Silent Enemy,1968,49,"Adventure,Sci-Fi,Thriller",6.9,60,7,writer,writer,1,20,Donald James,1931,2008,"writer,actor"
tt48523362,The Survivors,The Survivors,1968,49,"Adventure,Sci-Fi,Thriller",7.1,71,7,writer,writer,1,7,Donald James,1931,2008,"writer,actor"
tt93143797,Twelve Hours,Twelve Hours,1968,60,"Adventure,Sci-Fi,Thriller",7.0,72,7,writer,writer,1,13,Donald James,1931,2008,"writer,actor"
tt19319568,The Organisation Man,The Organisation Man,1968,49,"Action,Crime,Drama",7.2,106,7,writer,screenplay,6,5,Donald James,1931,2008,"writer,actor"
tt59315391,The People Importers,The People Importers,1968,49,"Action,Crime,Drama",7.2,110,7,writer,screenplay,6,13,Donald James,1931,2008,"writer,actor"
tt53498400,Abdullah,Abdullah,1968,25,"Comedy,Family,Fantasy",6.5,168,7,writer,written by,4,4,Martin Roth,1924,2000,"writer,script_department,miscellaneous"
tt32835526,Battle of Waikiki,Battle of Waikiki,1968,25,"Comedy,Family,Fantasy",6.3,170,7,writer,written by,3,15,Martin Roth,1924,2000,"writer,script_department,miscellaneous"
tt81407648,Havent I Seen Me Someplace Before,Havent I Seen Me Someplace Before,1968,25,"Comedy,Family,Fantasy",7.7,165,7,writer,written by,3,26,Martin Roth,1924,2000,"writer,script_department,miscellaneous"
tt48138014,UFOh Jeannie,UFOh Jeannie,1968,25,"Comedy,Family,Fantasy",6.8,182,7,writer,written by,4,1,Martin Roth,1924,2000,"writer,script_department,miscellaneous"
tt84865614,Operation DeepFreeze,Operation DeepFreeze,1968,60,"Adventure,Sci-Fi,Thriller",6.8,75,7,writer,writer,1,6,Gerald Kelsey,1919,2006,writer
tt23238682,The Final Countdown,The Final Countdown,1968,49,"Adventure,Sci-Fi,Thriller",7.2,58,7,writer,writer,1,28,Gerald Kelsey,1919,2006,writer
tt94253654,Captain Greggs WhizBang,Captain Greggs WhizBang,1968,24,"Comedy,Fantasy",8.0,34,8,writer,developer,1,11,Jean Holloway,1917,1989,"writer,miscellaneous"
tt78083982,Haunted Honeymoon,Haunted Honeymoon,1968,24,"Comedy,Fantasy",8.0,57,8,writer,developer,1,2,Jean Holloway,1917,1989,"writer,miscellaneous"
tt15873850,Hero Today Gone Tomorrow,Hero Today Gone Tomorrow,1968,30,"Comedy,Fantasy",7.8,34,8,writer,creator,1,5,Jean Holloway,1917,1989,"writer,miscellaneous"
tt26080717,Love Is a Toothache,Love Is a Toothache,1968,24,"Comedy,Fantasy",7.5,36,7,writer,developer,1,13,Jean Holloway,1917,1989,"writer,miscellaneous"
tt38887978,Madeira My Dear,Madeira My Dear,1968,24,"Comedy,Fantasy",7.6,36,7,writer,developer,1,12,Jean Holloway,1917,1989,"writer,miscellaneous"
tt51740182,Mr Perfect,Mr Perfect,1968,24,"Comedy,Fantasy",7.9,34,7,writer,developer,1,14,Jean Holloway,1917,1989,"writer,miscellaneous"
tt68140940,The Ghost Hunter,The Ghost Hunter,1968,30,"Comedy,Fantasy",7.7,52,7,writer,creator,1,4,Jean Holloway,1917,1989,"writer,miscellaneous"
tt70668350,The Monkey Puzzle Tree,The Monkey Puzzle Tree,1968,30,"Comedy,Fantasy",7.9,33,6,writer,written by,1,10,Jean Holloway,1917,1989,"writer,miscellaneous"
tt12663945,The Real James Gatley,The Real James Gatley,1968,30,"Comedy,Fantasy",7.7,36,7,writer,creator,1,7,Jean Holloway,1917,1989,"writer,miscellaneous"
tt32182581,Uncle Arnold the Magnificent,Uncle Arnold the Magnificent,1968,30,"Comedy,Fantasy",7.0,37,7,writer,developer,1,8,Jean Holloway,1917,1989,"writer,miscellaneous"
tt10605301,Vanessa,Vanessa,1968,60,"Comedy,Fantasy",8.2,46,7,writer,creator,1,6,Jean Holloway,1917,1989,"writer,miscellaneous"
tt64302916,Way Off Broadway,Way Off Broadway,1968,30,"Comedy,Fantasy",7.7,39,7,writer,developer,1,9,Jean Holloway,1917,1989,"writer,miscellaneous"
tt98890313,Dark Corridor,Dark Corridor,1968,75,Western,7.9,56,6,writer,story,7,10,Jean Holloway,1917,1989,"writer,miscellaneous"
tt70247149,Treasure Hunt,Treasure Hunt,1968,24,"Comedy,Fantasy",7.9,40,7,writer,creator,1,3,Jean Holloway,1917,1989,"writer,miscellaneous"
tt65333696,Pilot,Pilot,1968,24,"Comedy,Fantasy",8.7,71,6,writer,television story,1,1,Jean Holloway,1917,1989,"writer,miscellaneous"
tt19395337,Full Fathom Five,Full Fathom Five,1968,51,"Crime,Drama,Mystery",7.6,314,7,writer,written by,1,1,Ken Kolb,1926,2016,writer
tt33067117,Lucy Sells Craig to Wayne Newton,Lucy Sells Craig to Wayne Newton,1968,30,Comedy,7.2,53,10,cinematographer,director of photography,1,9,Maury Gertsman,1907,1999,"cinematographer,camera_department"
tt78319812,Lucy Visits Jack Benny,Lucy Visits Jack Benny,1968,30,Comedy,8.2,84,10,cinematographer,director of photography,1,2,Maury Gertsman,1907,1999,"cinematographer,camera_department"
tt91001615,Lucy and Eva Gabor,Lucy and Eva Gabor,1968,30,Comedy,7.7,45,10,cinematographer,director of photography,1,7,Maury Gertsman,1907,1999,"cinematographer,camera_department"
tt58985920,Lucy and Miss Shelley Winters,Lucy and Miss Shelley Winters,1968,30,Comedy,7.3,65,10,cinematographer,director of photography,1,4,Maury Gertsman,1907,1999,"cinematographer,camera_department"
tt80567569,Lucys Birthday,Lucys Birthday,1968,30,Comedy,7.3,48,10,cinematographer,director of photography,1,8,Maury Gertsman,1907,1999,"cinematographer,camera_department"
tt81841765,Lucys Working Daughter,Lucys Working Daughter,1968,30,Comedy,7.9,45,10,cinematographer,director of photography,1,10,Maury Gertsman,1907,1999,"cinematographer,camera_department"
tt57205463,Lucy the Matchmaker,Lucy the Matchmaker,1968,30,Comedy,7.9,48,10,cinematographer,director of photography,1,12,Maury Gertsman,1907,1999,"cinematographer,camera_department"
tt11623864,Mod Mod Lucy,Mod Mod Lucy,1968,30,Comedy,7.7,92,8,cinematographer,director of photography,1,1,Maury Gertsman,1907,1999,"cinematographer,camera_department"
tt43530191,Ride of Terror,Ride of Terror,1968,60,"Adventure,Drama,War",7.3,9,6,writer,writer,1,21,William Froug,1922,2013,"producer,writer,miscellaneous"
tt84200736,Big Jessie,Big Jessie,1968,75,Western,7.2,49,7,writer,written by,1,20,Daniel Mainwaring,1902,1977,"writer,miscellaneous"
tt35898447,Who Will Dig the Graves,Who Will Dig the Graves,1968,60,"Action,Crime,Drama",8.0,112,9,writer,written by,2,8,Daniel Mainwaring,1902,1977,"writer,miscellaneous"
tt51827041,Strangers in Our Own Land,Strangers in Our Own Land,1968,51,"Crime,Drama,Mystery",7.1,238,7,writer,teleplay,1,2,John Kneubuhl,1920,1992,"writer,producer"
tt47136396,Bread and Circuses,Bread and Circuses,1968,50,"Action,Adventure,Sci-Fi",7.0,2893,8,writer,story,2,25,John Kneubuhl,1920,1992,"writer,producer"
tt28766013,DoubleCross,DoubleCross,1968,50,Sci-Fi,7.3,57,7,writer,written by,1,10,Bob Mitchell,1918,1992,"writer,actor"
tt51727668,The Creed,The Creed,1968,50,Sci-Fi,7.9,52,8,writer,teleplay,1,9,Bob Mitchell,1918,1992,"writer,actor"
tt43998976,The Big Birthday CaperTwo Penguins Too ManyLuminians on the LooseThe Space Refugees,The Big Birthday CaperTwo Penguins Too ManyLuminians on the LooseThe Space Refugees,1968,23,"Action,Adventure,Animation",5.9,45,6,director,senior director,1,6,Anatole Kirsanoff,1911,1973,"animation_department,director,assistant_director"
tt59957831,The Cool Cruel Mr FreezeThe Jokes on RobinCan a Luthor Change His SpotsSuperboy Meets Mighty Lad,The Cool Cruel Mr FreezeThe Jokes on RobinCan a Luthor Change His SpotsSuperboy Meets Mighty Lad,1968,23,"Action,Adventure,Animation",6.2,49,6,director,senior director,1,2,Anatole Kirsanoff,1911,1973,"animation_department,director,assistant_director"
tt46988482,Gathering of the Team,Gathering of the Team,1968,22,"Adventure,Animation,Sci-Fi",6.5,15,5,director,senior director,1,1,Anatole Kirsanoff,1911,1973,"animation_department,director,assistant_director"
tt79677294,The Great Busby,The Great Busby,1968,22,"Adventure,Animation,Sci-Fi",4.2,10,5,director,senior director,1,13,Anatole Kirsanoff,1911,1973,"animation_department,director,assistant_director"
